freq,psd_x,psd_y,psd_z,psd_xyz
128.1,8.298e+04,4.278e+04,1.033e+05,2.291e+05
129.6,1.001e+05,3.335e+04,9.512e+04,2.285e+05
131.0,9.947e+04,2.486e+04,8.100e+04,2.053e+05
132.5,6.987e+04,1.406e+04,4.941e+04,1.333e+05
133.9,3.292e+04,3.330e+03,9.491e+03,4.574e+04
135.4,2.341e+04,1.635e+03,2.831e+03,2.787e+04
136.8,1.880e+04,1.480e+03,3.070e+03,2.335e+04
138.3,1.521e+04,1.326e+03,3.733e+03,2.027e+04
139.7,1.361e+04,1.151e+03,4.044e+03,1.881e+04
141.2,1.385e+04,1.038e+03,4.593e+03,1.948e+04
142.7,1.371e+04,9.555e+02,4.676e+03,1.935e+04
144.1,1.365e+04,8.767e+02,4.591e+03,1.912e+04
145.6,1.292e+04,8.848e+02,4.593e+03,1.840e+04
147.0,1.219e+04,9.914e+02,4.737e+03,1.792e+04
148.5,1.137e+04,1.104e+03,4.790e+03,1.726e+04
149.9,1.162e+04,1.409e+03,5.047e+03,1.807e+04
151.4,1.238e+04,2.028e+03,5.815e+03,2.023e+04
152.9,1.325e+04,2.625e+03,6.678e+03,2.255e+04
154.3,1.436e+04,2.767e+03,7.267e+03,2.439e+04
155.8,1.453e+04,2.836e+03,7.323e+03,2.469e+04
157.2,1.379e+04,2.630e+03,6.715e+03,2.314e+04
158.7,1.378e+04,2.526e+03,6.511e+03,2.282e+04
160.1,1.355e+04,2.062e+03,6.243e+03,2.185e+04
161.6,1.275e+04,1.711e+03,5.814e+03,2.027e+04
163.0,1.286e+04,1.409e+03,5.937e+03,2.021e+04
164.5,1.344e+04,1.123e+03,5.680e+03,2.025e+04
166.0,1.362e+04,1.008e+03,5.451e+03,2.008e+04
167.4,1.307e+04,1.069e+03,5.014e+03,1.915e+04
168.9,1.242e+04,1.020e+03,4.869e+03,1.831e+04
170.3,1.237e+04,8.539e+02,5.173e+03,1.839e+04
171.8,1.290e+04,8.672e+02,5.252e+03,1.902e+04
173.2,1.329e+04,9.075e+02,5.732e+03,1.993e+04
174.7,1.570e+04,1.044e+03,6.907e+03,2.365e+04
176.1,1.808e+04,1.202e+03,8.160e+03,2.744e+04
177.6,1.890e+04,1.579e+03,8.610e+03,2.909e+04
179.1,1.996e+04,2.106e+03,8.804e+03,3.087e+04
180.5,2.118e+04,2.599e+03,9.023e+03,3.280e+04
182.0,2.649e+04,3.430e+03,1.112e+04,4.104e+04
183.4,3.103e+04,4.046e+03,1.288e+04,4.796e+04
184.9,3.290e+04,4.336e+03,1.328e+04,5.051e+04
186.3,3.163e+04,4.289e+03,1.272e+04,4.865e+04
187.8,3.245e+04,4.407e+03,1.247e+04,4.932e+04
189.2,3.243e+04,4.307e+03,1.209e+04,4.883e+04
190.7,3.427e+04,4.471e+03,1.271e+04,5.146e+04
192.2,4.371e+04,8.266e+03,1.572e+04,6.769e+04
193.6,5.254e+04,1.775e+04,1.765e+04,8.794e+04
195.1,4.762e+04,2.146e+04,1.490e+04,8.398e+04
196.5,3.601e+04,1.834e+04,1.087e+04,6.523e+04
198.0,2.468e+04,1.443e+04,7.860e+03,4.697e+04
199.4,1.590e+04,9.497e+03,5.733e+03,3.113e+04
