freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.621e+02,3.253e+02,2.953e+02,8.827e+02
1.5,1.590e+02,1.959e+02,1.887e+02,5.437e+02
2.9,2.082e+01,2.278e+01,2.978e+01,7.337e+01
4.4,9.062e+01,2.442e+01,1.638e+02,2.789e+02
5.8,3.766e+02,2.547e+01,6.955e+02,1.098e+03
7.3,6.575e+02,2.495e+01,1.246e+03,1.929e+03
8.8,9.694e+02,2.417e+01,1.836e+03,2.830e+03
10.2,1.363e+03,2.350e+01,2.575e+03,3.962e+03
11.7,1.884e+03,2.338e+01,3.558e+03,5.465e+03
13.1,2.093e+03,2.489e+01,4.146e+03,6.264e+03
14.6,1.964e+03,2.602e+01,3.950e+03,5.940e+03
16.1,2.468e+03,2.482e+01,4.760e+03,7.253e+03
17.5,3.105e+03,2.261e+01,6.043e+03,9.171e+03
19.0,3.782e+03,2.142e+01,7.345e+03,1.115e+04
20.4,4.540e+03,2.243e+01,8.873e+03,1.343e+04
21.9,5.449e+03,2.413e+01,1.056e+04,1.604e+04
23.4,6.453e+03,2.673e+01,1.242e+04,1.890e+04
24.8,7.510e+03,3.097e+01,1.450e+04,2.204e+04
26.3,8.528e+03,4.718e+01,1.631e+04,2.488e+04
27.7,9.475e+03,7.027e+01,1.851e+04,2.805e+04
29.2,1.091e+04,9.318e+01,2.157e+04,3.257e+04
30.7,1.270e+04,1.295e+02,2.482e+04,3.765e+04
32.1,1.442e+04,2.030e+02,2.821e+04,4.284e+04
33.6,1.656e+04,3.002e+02,3.256e+04,4.942e+04
35.0,1.870e+04,4.125e+02,3.691e+04,5.603e+04
36.5,2.058e+04,5.399e+02,4.085e+04,6.197e+04
38.0,2.290e+04,6.619e+02,4.555e+04,6.911e+04
39.4,2.599e+04,8.353e+02,5.214e+04,7.896e+04
40.9,2.917e+04,1.121e+03,5.934e+04,8.963e+04
42.3,3.260e+04,1.331e+03,6.470e+04,9.863e+04
43.8,3.669e+04,1.527e+03,7.093e+04,1.091e+05
45.3,4.097e+04,1.982e+03,7.988e+04,1.228e+05
46.7,4.565e+04,1.916e+03,8.831e+04,1.359e+05
48.2,5.175e+04,1.363e+03,9.375e+04,1.469e+05
