freq,psd_x,psd_y,psd_z,psd_xyz
49.6,5.968e+04,1.578e+03,1.045e+05,1.658e+05
51.1,6.873e+04,2.402e+03,1.239e+05,1.950e+05
52.6,7.515e+04,3.881e+03,1.428e+05,2.218e+05
54.0,8.058e+04,6.690e+03,1.655e+05,2.528e+05
55.5,9.564e+04,1.097e+04,2.000e+05,3.066e+05
56.9,1.196e+05,1.840e+04,2.507e+05,3.887e+05
58.4,1.487e+05,3.136e+04,3.166e+05,4.967e+05
59.9,1.732e+05,4.961e+04,3.762e+05,5.990e+05
61.3,2.158e+05,8.020e+04,4.629e+05,7.589e+05
62.8,2.908e+05,1.271e+05,5.800e+05,9.978e+05
64.2,3.739e+05,1.773e+05,6.766e+05,1.228e+06
65.7,4.409e+05,2.169e+05,7.333e+05,1.391e+06
67.2,4.894e+05,2.443e+05,7.769e+05,1.511e+06
68.6,4.732e+05,2.406e+05,7.463e+05,1.460e+06
70.1,4.567e+05,2.427e+05,7.106e+05,1.410e+06
71.5,4.347e+05,2.310e+05,6.583e+05,1.324e+06
73.0,4.385e+05,2.140e+05,6.192e+05,1.272e+06
74.5,3.681e+05,1.751e+05,5.360e+05,1.079e+06
75.9,2.170e+05,1.620e+05,4.071e+05,7.860e+05
77.4,1.268e+05,2.187e+05,3.227e+05,6.681e+05
78.8,1.278e+05,3.205e+05,3.405e+05,7.888e+05
80.3,1.686e+05,4.383e+05,3.921e+05,9.990e+05
81.8,2.377e+05,5.736e+05,4.289e+05,1.240e+06
83.2,3.150e+05,7.040e+05,4.313e+05,1.450e+06
84.7,4.126e+05,8.011e+05,4.029e+05,1.617e+06
86.1,5.432e+05,8.058e+05,3.321e+05,1.681e+06
87.6,7.372e+05,7.747e+05,2.417e+05,1.754e+06
89.1,9.801e+05,8.384e+05,1.593e+05,1.978e+06
90.5,1.129e+06,9.982e+05,1.007e+05,2.228e+06
92.0,1.154e+06,1.256e+06,7.043e+04,2.480e+06
93.4,1.044e+06,1.524e+06,5.865e+04,2.627e+06
94.9,8.572e+05,1.786e+06,6.080e+04,2.704e+06
96.4,6.512e+05,2.119e+06,7.794e+04,2.848e+06
97.8,4.899e+05,2.510e+06,1.086e+05,3.108e+06
99.3,4.385e+05,2.975e+06,1.644e+05,3.578e+06
100.8,5.765e+05,3.182e+06,2.323e+05,3.991e+06
102.2,8.612e+05,2.646e+06,2.382e+05,3.745e+06
103.7,1.023e+06,1.566e+06,1.803e+05,2.770e+06
105.1,9.668e+05,9.594e+05,1.389e+05,2.065e+06
106.6,8.897e+05,7.568e+05,1.184e+05,1.765e+06
108.1,8.175e+05,4.488e+05,9.609e+04,1.362e+06
109.5,7.266e+05,2.952e+05,9.715e+04,1.119e+06
111.0,6.318e+05,3.470e+05,1.299e+05,1.109e+06
112.4,5.155e+05,4.526e+05,1.647e+05,1.133e+06
113.9,4.406e+05,6.062e+05,2.188e+05,1.266e+06
115.4,3.712e+05,7.842e+05,2.843e+05,1.440e+06
116.8,2.823e+05,8.607e+05,3.109e+05,1.454e+06
118.3,2.148e+05,9.229e+05,3.353e+05,1.473e+06
119.7,1.780e+05,1.007e+06,3.694e+05,1.555e+06
121.2,1.562e+05,9.929e+05,3.702e+05,1.519e+06
122.7,1.414e+05,9.126e+05,3.489e+05,1.403e+06
124.1,1.333e+05,8.280e+05,3.260e+05,1.287e+06
125.6,1.392e+05,7.083e+05,2.910e+05,1.139e+06
127.0,1.610e+05,5.888e+05,2.589e+05,1.009e+06
128.5,1.843e+05,4.720e+05,2.286e+05,8.850e+05
130.0,2.050e+05,3.689e+05,2.021e+05,7.759e+05
131.4,2.287e+05,2.566e+05,1.621e+05,6.474e+05
132.9,1.848e+05,1.083e+05,8.218e+04,3.753e+05
134.3,1.387e+05,1.422e+04,2.356e+04,1.765e+05
135.8,1.505e+05,7.115e+03,1.894e+04,1.765e+05
137.3,1.565e+05,8.289e+03,1.838e+04,1.831e+05
138.7,1.545e+05,1.087e+04,1.883e+04,1.842e+05
140.2,1.447e+05,1.409e+04,1.951e+04,1.783e+05
141.6,1.201e+05,1.454e+04,1.771e+04,1.524e+05
143.1,1.016e+05,1.548e+04,1.621e+04,1.332e+05
144.6,8.869e+04,1.784e+04,1.646e+04,1.230e+05
146.0,7.528e+04,1.951e+04,1.653e+04,1.113e+05
147.5,6.528e+04,2.011e+04,1.668e+04,1.021e+05
148.9,5.643e+04,1.813e+04,1.591e+04,9.048e+04
150.4,4.836e+04,1.355e+04,1.378e+04,7.569e+04
151.9,3.962e+04,8.618e+03,1.047e+04,5.871e+04
153.3,3.006e+04,5.011e+03,7.227e+03,4.230e+04
154.8,2.164e+04,2.888e+03,4.935e+03,2.946e+04
156.2,1.454e+04,2.157e+03,3.750e+03,2.044e+04
157.7,1.084e+04,2.264e+03,3.283e+03,1.638e+04
159.2,9.443e+03,2.475e+03,2.954e+03,1.487e+04
160.6,8.633e+03,2.910e+03,2.424e+03,1.397e+04
162.1,8.091e+03,3.756e+03,2.276e+03,1.412e+04
163.5,8.012e+03,4.857e+03,2.412e+03,1.528e+04
165.0,7.985e+03,6.172e+03,2.671e+03,1.683e+04
166.5,7.674e+03,7.534e+03,2.908e+03,1.812e+04
167.9,7.380e+03,9.193e+03,3.131e+03,1.970e+04
169.4,7.420e+03,1.150e+04,3.345e+03,2.226e+04
170.8,7.775e+03,1.416e+04,3.555e+03,2.549e+04
172.3,8.410e+03,1.750e+04,3.792e+03,2.970e+04
173.8,8.965e+03,2.198e+04,4.054e+03,3.500e+04
175.2,9.754e+03,2.789e+04,4.252e+03,4.189e+04
176.7,1.089e+04,3.686e+04,4.819e+03,5.256e+04
178.1,1.152e+04,4.945e+04,6.206e+03,6.718e+04
179.6,1.256e+04,6.345e+04,7.658e+03,8.368e+04
181.1,1.542e+04,7.858e+04,8.196e+03,1.022e+05
182.5,1.978e+04,9.443e+04,8.055e+03,1.223e+05
184.0,2.566e+04,1.113e+05,7.705e+03,1.447e+05
185.4,3.472e+04,1.336e+05,7.846e+03,1.762e+05
186.9,4.695e+04,1.551e+05,8.475e+03,2.105e+05
188.4,6.486e+04,1.790e+05,1.024e+04,2.541e+05
189.8,8.867e+04,2.026e+05,1.407e+04,3.054e+05
191.3,1.184e+05,2.261e+05,2.146e+04,3.660e+05
192.7,1.587e+05,2.507e+05,3.539e+04,4.448e+05
194.2,1.992e+05,2.631e+05,5.453e+04,5.168e+05
195.7,2.349e+05,2.778e+05,7.522e+04,5.879e+05
197.1,2.633e+05,2.955e+05,9.528e+04,6.541e+05
198.6,2.797e+05,3.058e+05,1.112e+05,6.967e+05
