freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.548e+02,2.030e+02,2.509e+02,1.009e+03
1.5,3.294e+02,1.331e+02,1.660e+02,6.285e+02
2.9,2.432e+01,2.571e+01,3.225e+01,8.228e+01
4.4,1.666e+02,2.570e+01,9.260e+01,2.849e+02
5.8,7.534e+02,2.738e+01,3.616e+02,1.142e+03
7.3,1.347e+03,2.655e+01,6.297e+02,2.003e+03
8.8,1.959e+03,2.619e+01,8.923e+02,2.878e+03
10.2,2.723e+03,2.431e+01,1.235e+03,3.982e+03
11.7,3.818e+03,2.516e+01,1.704e+03,5.547e+03
13.1,4.832e+03,2.635e+01,2.246e+03,7.104e+03
14.6,4.687e+03,2.873e+01,2.209e+03,6.924e+03
16.1,5.367e+03,2.735e+01,2.363e+03,7.757e+03
17.5,6.784e+03,2.784e+01,3.017e+03,9.828e+03
19.0,8.285e+03,2.886e+01,3.721e+03,1.203e+04
20.4,9.981e+03,2.932e+01,4.534e+03,1.454e+04
21.9,1.207e+04,3.021e+01,5.527e+03,1.763e+04
23.4,1.467e+04,3.224e+01,6.698e+03,2.140e+04
24.8,1.782e+04,3.310e+01,8.114e+03,2.596e+04
26.3,2.050e+04,5.042e+01,9.252e+03,2.980e+04
27.7,2.210e+04,7.654e+01,1.023e+04,3.240e+04
29.2,2.371e+04,1.063e+02,1.125e+04,3.507e+04
30.7,2.635e+04,1.343e+02,1.258e+04,3.906e+04
32.1,2.998e+04,1.744e+02,1.457e+04,4.472e+04
33.6,3.412e+04,2.344e+02,1.659e+04,5.094e+04
35.0,4.043e+04,3.299e+02,1.989e+04,6.065e+04
36.5,4.745e+04,4.382e+02,2.362e+04,7.150e+04
38.0,5.383e+04,5.088e+02,2.683e+04,8.117e+04
39.4,6.128e+04,5.906e+02,3.063e+04,9.250e+04
40.9,7.030e+04,7.279e+02,3.552e+04,1.065e+05
42.3,8.057e+04,8.297e+02,4.091e+04,1.223e+05
43.8,9.179e+04,7.936e+02,4.604e+04,1.386e+05
45.3,1.036e+05,9.346e+02,5.260e+04,1.571e+05
46.7,1.134e+05,8.736e+02,5.536e+04,1.696e+05
48.2,1.263e+05,9.904e+02,5.939e+04,1.867e+05
49.6,1.509e+05,1.723e+03,7.110e+04,2.237e+05
51.1,1.744e+05,2.744e+03,8.561e+04,2.627e+05
52.6,1.888e+05,4.520e+03,1.014e+05,2.948e+05
54.0,2.238e+05,7.197e+03,1.258e+05,3.569e+05
55.5,2.644e+05,1.050e+04,1.507e+05,4.256e+05
56.9,3.239e+05,1.692e+04,1.868e+05,5.277e+05
58.4,3.978e+05,2.663e+04,2.321e+05,6.565e+05
59.9,4.537e+05,3.832e+04,2.673e+05,7.594e+05
61.3,4.995e+05,5.277e+04,3.005e+05,8.527e+05
62.8,4.638e+05,5.941e+04,2.976e+05,8.209e+05
64.2,4.370e+05,6.663e+04,2.993e+05,8.028e+05
