freq,psd_x,psd_y,psd_z,psd_xyz
65.7,4.738e+05,8.326e+04,3.285e+05,8.855e+05
67.2,5.632e+05,1.078e+05,3.922e+05,1.063e+06
68.6,7.003e+05,1.394e+05,4.842e+05,1.324e+06
70.1,8.288e+05,1.748e+05,5.705e+05,1.574e+06
71.6,8.490e+05,1.976e+05,5.967e+05,1.643e+06
73.0,9.895e+05,2.587e+05,7.050e+05,1.953e+06
74.5,1.259e+06,3.638e+05,8.814e+05,2.504e+06
75.9,1.536e+06,5.313e+05,1.071e+06,3.138e+06
77.4,1.606e+06,6.579e+05,1.103e+06,3.367e+06
78.9,1.463e+06,6.865e+05,9.831e+05,3.132e+06
80.3,1.382e+06,7.373e+05,9.025e+05,3.022e+06
81.8,1.315e+06,7.722e+05,8.225e+05,2.910e+06
83.2,1.310e+06,8.227e+05,7.548e+05,2.887e+06
84.7,1.433e+06,9.338e+05,7.226e+05,3.089e+06
86.2,1.451e+06,9.739e+05,6.431e+05,3.068e+06
87.6,1.269e+06,9.247e+05,5.150e+05,2.709e+06
89.1,1.336e+06,9.452e+05,4.284e+05,2.709e+06
90.5,1.512e+06,9.609e+05,3.637e+05,2.837e+06
92.0,1.694e+06,9.391e+05,3.155e+05,2.948e+06
93.5,1.701e+06,8.705e+05,2.694e+05,2.841e+06
94.9,1.382e+06,7.306e+05,1.977e+05,2.310e+06
96.4,1.102e+06,6.228e+05,1.539e+05,1.879e+06
97.8,8.374e+05,5.291e+05,1.328e+05,1.499e+06
99.3,5.896e+05,4.708e+05,1.298e+05,1.190e+06
100.8,3.959e+05,4.767e+05,1.652e+05,1.038e+06
102.2,3.313e+05,5.569e+05,1.980e+05,1.086e+06
103.7,6.733e+05,4.851e+05,1.378e+05,1.296e+06
105.1,8.933e+05,2.908e+05,5.940e+04,1.243e+06
106.6,9.608e+05,3.799e+05,2.624e+04,1.367e+06
108.1,1.045e+06,4.831e+05,8.899e+03,1.537e+06
109.5,9.974e+05,4.724e+05,3.842e+03,1.474e+06
111.0,9.024e+05,4.374e+05,5.527e+03,1.345e+06
112.4,7.801e+05,3.918e+05,9.854e+03,1.182e+06
113.9,6.333e+05,3.216e+05,1.576e+04,9.707e+05
115.4,5.544e+05,2.886e+05,2.328e+04,8.663e+05
116.8,5.226e+05,2.873e+05,3.203e+04,8.420e+05
118.3,5.278e+05,2.766e+05,3.796e+04,8.423e+05
119.7,5.090e+05,3.107e+05,5.009e+04,8.698e+05
121.2,4.500e+05,3.993e+05,7.806e+04,9.273e+05
122.7,4.021e+05,4.912e+05,1.126e+05,1.006e+06
124.1,3.526e+05,5.326e+05,1.356e+05,1.021e+06
125.6,3.008e+05,5.227e+05,1.435e+05,9.670e+05
127.0,2.551e+05,5.032e+05,1.435e+05,9.017e+05
128.5,2.240e+05,4.860e+05,1.439e+05,8.539e+05
130.0,1.964e+05,4.480e+05,1.412e+05,7.855e+05
131.4,1.657e+05,3.541e+05,1.172e+05,6.371e+05
132.9,9.519e+04,1.689e+05,6.094e+04,3.250e+05
134.3,4.050e+04,3.120e+04,1.732e+04,8.902e+04
135.8,3.265e+04,1.784e+04,1.355e+04,6.404e+04
137.3,2.923e+04,1.531e+04,1.330e+04,5.783e+04
138.7,2.806e+04,1.325e+04,1.285e+04,5.416e+04
140.2,2.776e+04,1.127e+04,1.227e+04,5.129e+04
141.6,2.857e+04,9.492e+03,1.198e+04,5.005e+04
143.1,2.872e+04,8.363e+03,1.183e+04,4.892e+04
144.6,2.709e+04,7.577e+03,1.166e+04,4.633e+04
146.0,2.501e+04,6.915e+03,1.103e+04,4.295e+04
147.5,2.347e+04,6.992e+03,1.084e+04,4.130e+04
148.9,2.201e+04,7.773e+03,1.124e+04,4.103e+04
150.4,2.065e+04,8.903e+03,1.207e+04,4.162e+04
151.9,2.119e+04,1.057e+04,1.365e+04,4.541e+04
153.3,2.236e+04,1.274e+04,1.624e+04,5.134e+04
154.8,2.457e+04,1.420e+04,2.032e+04,5.909e+04
156.2,2.669e+04,1.520e+04,2.426e+04,6.615e+04
157.7,2.961e+04,1.670e+04,2.760e+04,7.391e+04
159.2,3.399e+04,1.884e+04,3.120e+04,8.404e+04
160.6,3.821e+04,2.127e+04,3.504e+04,9.452e+04
162.1,4.282e+04,2.456e+04,3.990e+04,1.073e+05
163.5,4.947e+04,2.734e+04,4.589e+04,1.227e+05
165.0,6.480e+04,2.904e+04,5.612e+04,1.500e+05
166.5,8.490e+04,2.740e+04,6.634e+04,1.786e+05
167.9,1.031e+05,2.959e+04,7.680e+04,2.095e+05
169.4,1.272e+05,3.385e+04,9.249e+04,2.535e+05
170.8,1.528e+05,3.789e+04,1.083e+05,2.991e+05
172.3,1.861e+05,4.495e+04,1.276e+05,3.586e+05
173.8,2.316e+05,5.476e+04,1.540e+05,4.403e+05
175.2,2.725e+05,6.391e+04,1.776e+05,5.140e+05
176.7,3.113e+05,7.728e+04,1.995e+05,5.881e+05
178.1,3.460e+05,9.508e+04,2.162e+05,6.573e+05
179.6,3.727e+05,1.129e+05,2.289e+05,7.146e+05
181.1,3.976e+05,1.304e+05,2.481e+05,7.761e+05
182.5,3.851e+05,1.320e+05,2.487e+05,7.658e+05
184.0,3.614e+05,1.258e+05,2.434e+05,7.306e+05
185.4,3.523e+05,1.142e+05,2.450e+05,7.115e+05
186.9,3.325e+05,8.620e+04,2.342e+05,6.529e+05
188.4,3.010e+05,6.477e+04,2.129e+05,5.787e+05
189.8,2.077e+05,5.263e+04,1.342e+05,3.945e+05
191.3,1.486e+05,7.839e+04,7.185e+04,2.989e+05
192.7,1.795e+05,1.405e+05,8.857e+04,4.086e+05
194.2,1.710e+05,1.637e+05,8.803e+04,4.227e+05
195.7,1.535e+05,1.670e+05,8.256e+04,4.031e+05
197.1,1.405e+05,1.694e+05,7.895e+04,3.889e+05
198.6,1.321e+05,1.769e+05,7.732e+04,3.863e+05
